ID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,BEDS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,WEBSITE,OWNER,TRAUMA,HELIPAD
11740202,UNIVERSITY OF LOUISVILLE HOSPITAL,530 S JACKSON ST,LOUISVILLE,KY,40202,GENERAL ACUTE CARE,404,JEFFERSON,21111,USA,38.24832296,-85.74433596,622110,http://www.ulh.org,NON-PROFIT,LEVEL I,Y
11640536,UNIVERSITY OF KY HOSPITAL,800 ROSE STREET,LEXINGTON,KY,40536,GENERAL ACUTE CARE,604,FAYETTE,21067,USA,38.03096461,-84.50744299,622110,http://www.ukhealthcare.uky.edu,GOVERNMENT - STATE,"LEVEL I, LEVEL I PEDIATRIC",Y
8041501,PIKEVILLE MEDICAL CENTER,911 BYPASS RD,PIKEVILLE,KY,41501,GENERAL ACUTE CARE,261,PIKE,21195,USA,37.47124167,-82.5222475,622110,http://www.pikevillehospital.org,NON-PROFIT,LEVEL II,Y
7642303,OWENSBORO HEALTH REGIONAL HOSPITAL,811 E PARRISH AVE,OWENSBORO,KY,42303,GENERAL ACUTE CARE,447,DAVIESS,21059,USA,37.76579187,-87.10232861,622110,http://www.owensborohealth.org,NON-PROFIT,LEVEL III,Y
2140422,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,217 SOUTH THIRD STREET,DANVILLE,KY,40422,GENERAL ACUTE CARE,222,BOYLE,21021,USA,37.64387331,-84.77300114,622110,http://www.emrmc.org,NON-PROFIT,LEVEL III,N
10542718,TAYLOR REGIONAL HOSPITAL,1700 OLD LEBANON ROAD,CAMPBELLSVILLE,KY,42718,GENERAL ACUTE CARE,90,TAYLOR,21217,USA,37.36635176,-85.33810656,622110,http://www.trhosp.org,GOVERNMENT - DISTRICT/AUTHORITY,LEVEL III,Y
3140831,HARLAN ARH HOSPITAL,81 BALL PARK ROAD,HARLAN,KY,40831,GENERAL ACUTE CARE,150,HARLAN,21095,USA,36.80945517,-83.31359839,622110,http://www.arh.org/locations/harlan.aspx,NON-PROFIT,LEVEL IV,Y
12341503,TUG VALLEY ARH REGIONAL MEDICAL CENTER,260 HOSPITAL DRIVE,SOUTH WILLIAMSON,KY,41503,GENERAL ACUTE CARE,113,PIKE,21195,USA,37.67651064,-82.29702272,622110,http://www.arh.org/locations/tug_valley.aspx,NON-PROFIT,LEVEL IV,Y
12241858,WHITESBURG ARH HOSPITAL,240 HOSPITAL ROAD,WHITESBURG,KY,41858,GENERAL ACUTE CARE,90,LETCHER,21133,USA,37.11292722,-82.81252179,622110,http://www.arh.org/whitesburg,NON-PROFIT,LEVEL IV,Y
11442754,TWIN LAKES REGIONAL MEDICAL CENTER,910 WALLACE AVENUE,LEITCHFIELD,KY,42754,GENERAL ACUTE CARE,75,GRAYSON,21085,USA,37.4725153,-86.28859309,622110,http://www.tlrmc.com,NON-PROFIT,LEVEL IV,Y
3241031,HARRISON MEMORIAL HOSPITAL,1210 KENTUCKY HIGHWAY 36 EAST,CYNTHIANA,KY,41031,GENERAL ACUTE CARE,61,HARRISON,21097,USA,38.38396873,-84.27768646,622110,http://www.harrisonmemhosp.com,NON-PROFIT,LEVEL IV,Y
8640456,ROCKCASTLE REGIONAL HOSPITAL & RESPIRATORY CARE CENTER,145 NEWCOMB AVE,MT VERNON,KY,40456,GENERAL ACUTE CARE,26,ROCKCASTLE,21203,USA,37.35796432,-84.33590332,622110,http://www.rockcastleregional.org,NON-PROFIT,LEVEL IV,Y
6241472,MORGAN COUNTY ARH HOSPITAL,476 LIBERTY ROAD,WEST LIBERTY,KY,41472,CRITICAL ACCESS,25,MORGAN,21175,USA,37.92003314,-83.26557551,622110,http://www.arh.org,NON-PROFIT,LEVEL IV,Y
5240336,MARCUM AND WALLACE MEMORIAL HOSPITAL,60 MERCY COURT,IRVINE,KY,40336,CRITICAL ACCESS,25,ESTILL,21065,USA,37.7061971,-83.97727714,622110,http://www.marcumandwallace.org,NON-PROFIT,LEVEL IV,Y
2040484,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,110 METKER TRAIL,STANFORD,KY,40484,CRITICAL ACCESS,25,LINCOLN,21137,USA,37.54279432,-84.65303656,622110,http://www.fortloganhospital.org,NON-PROFIT,LEVEL IV,Y
4942078,LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES,131 HOSPITAL DRIVE,SALEM,KY,42078,CRITICAL ACCESS,25,LIVINGSTON,21139,USA,37.26305319,-88.22850246,622110,http://www.lhhs.org,NON-PROFIT,LEVEL IV,Y
5942437,METHODIST HOSPITAL UNION COUNTY,4604 U.S. HWY. 60W,MORGANFIELD,KY,42437,GENERAL ACUTE CARE,25,UNION,21225,USA,37.62879646,-87.94765598,622110,http://www.methodisthospitaluc.net,NON-PROFIT,LEVEL IV,Y
140207,BAPTIST HOSPITAL LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,GENERAL ACUTE CARE,519,JEFFERSON,21111,USA,38.23811825,-85.6371443,622110,https://www.baptisthealth.com/louisville/pages/default.aspx,NON-PROFIT,NOT AVAILABLE,Y
9941017,ST. ELIZABETH EDGEWOOD,1 MEDICAL VILLAGE DR.,EDGEWOOD,KY,41017,GENERAL ACUTE CARE,480,KENTON,21117,USA,39.01317816,-84.56278972,622110,http://www.stelizabeth.com,NON-PROFIT,NOT AVAILABLE,Y
4040202,JEWISH HOSPITAL & ST. MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,GENERAL ACUTE CARE,462,JEFFERSON,21111,USA,38.24913165,-85.7511895,622110,http://www.kentuckyonehealth.org/body.cfm?id=3299&fr=true,PROPRIETARY,NOT AVAILABLE,Y
4541101,KINGS DAUGHTERS MEDICAL CENTER,2201 LEXINGTON AVE,ASHLAND,KY,41101,GENERAL ACUTE CARE,455,BOYD,21019,USA,38.46994141,-82.63451633,622110,http://www.kdmc.com,NON-PROFIT,NOT AVAILABLE,Y
9140504,SAINT JOSEPH HOSPITAL,ONE ST JOSEPH DRIVE,LEXINGTON,KY,40504,GENERAL ACUTE CARE,433,FAYETTE,21067,USA,38.03233973,-84.52329929,622110,http://www.sjhlex.org/system-locations-saint-joseph-hospital-lexington-ky,NON-PROFIT,NOT AVAILABLE,Y
6840217,NORTON AUDUBON HOSPITAL,ONE AUDUBON PLAZA DRIVE,LOUISVILLE,KY,40217,GENERAL ACUTE CARE,432,JEFFERSON,21111,USA,38.2151274,-85.72281365,622110,http://www.nortonhealthcare.com/NortonAudubonHospital,NON-PROFIT,NOT AVAILABLE,Y
102442431,BAPTIST HEALTH MADISONVILLE,900 HOSPITAL DRIVE,MADISONVILLE,KY,42431,GENERAL ACUTE CARE,390,HOPKINS,21107,USA,37.34059784,-87.49334945,622110,NOT AVAILABLE,PROPRIETARY,NOT AVAILABLE,Y
7040202,NORTON HOSPITAL,200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,GENERAL ACUTE CARE,370,JEFFERSON,21111,USA,38.24772315,-85.7504603,622110,http://www.nortonhealthcare.com/nortonhospital,NON-PROFIT,NOT AVAILABLE,Y
5142003,LOURDES HOSPITAL,1530 LONE OAK RD,PADUCAH,KY,42003,GENERAL ACUTE CARE,359,MCCRACKEN,21145,USA,37.05063902,-88.64736896,622110,http://www.lourdes-pad.org,NON-PROFIT,NOT AVAILABLE,Y
3341701,HAZARD ARH REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,HAZARD,KY,41701,GENERAL ACUTE CARE,358,PERRY,21193,USA,37.27829795,-83.22788224,622110,http://www.arh.org,NON-PROFIT,NOT AVAILABLE,Y
11942003,BAPTIST HEALTH PADUCAH,2501 KENTUCKY AVENUE,PADUCAH,KY,42003,GENERAL ACUTE CARE,349,MCCRACKEN,21145,USA,37.07375938,-88.62659719,622110,http://www.westernbaptist.com/,NON-PROFIT,NOT AVAILABLE,Y
1240503,BAPTIST HEALTH LEXINGTON,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,GENERAL ACUTE CARE,344,FAYETTE,21067,USA,38.01880519,-84.51185771,622110,https://www.baptisthealth.com/lexington/pages/default.aspx,NON-PROFIT,NOT AVAILABLE,Y
